customer_id,snapshotdate,label
11,2019-12-31,1
62,2019-12-31,0
51,2019-12-31,0
57,2019-12-31,0
17,2019-12-31,1
52,2019-12-31,1
39,2019-12-31,1
45,2019-12-31,1
49,2019-12-31,0
47,2019-12-31,1
72,2019-12-31,0
15,2019-12-31,0
70,2019-12-31,0
7,2019-12-31,0
44,2019-12-31,1
25,2019-12-31,0
97,2019-12-31,1
96,2019-12-31,0
5,2019-12-31,0
87,2019-12-31,1
35,2019-12-31,1
55,2019-12-31,0
54,2019-12-31,0
19,2019-12-31,0
12,2019-12-31,1
32,2019-12-31,1
84,2019-12-31,0
23,2019-12-31,0
78,2019-12-31,1
38,2019-12-31,1
46,2019-12-31,1
56,2019-12-31,1
89,2019-12-31,0
1,2019-12-31,1
71,2019-12-31,0
34,2019-12-31,1
6,2019-12-31,0
61,2019-12-31,0
8,2019-12-31,0
77,2019-12-31,1
59,2019-12-31,0
29,2019-12-31,1
81,2019-12-31,0
99,2019-12-31,1
30,2019-12-31,0
95,2019-12-31,0
86,2019-12-31,0
40,2019-12-31,1
79,2019-12-31,0
65,2019-12-31,1
63,2019-12-31,1
75,2019-12-31,1
58,2019-12-31,0
90,2019-12-31,1
16,2019-12-31,1
33,2019-12-31,0
80,2019-12-31,1
20,2019-12-31,1
73,2019-12-31,0
76,2019-12-31,1
53,2019-12-31,1
22,2019-12-31,0
92,2019-12-31,0
50,2019-12-31,1
41,2019-12-31,1
2,2019-12-31,1
66,2019-12-31,1
74,2019-12-31,0
48,2019-12-31,1
31,2019-12-31,1
91,2019-12-31,0
37,2019-12-31,0
93,2019-12-31,1
64,2019-12-31,1
24,2019-12-31,1
26,2019-12-31,1
68,2019-12-31,0
4,2019-12-31,0
13,2019-12-31,1
60,2019-12-31,1
3,2019-12-31,1
83,2019-12-31,1
42,2019-12-31,1
27,2019-12-31,0
85,2019-12-31,0
14,2019-12-31,0
36,2019-12-31,0
94,2019-12-31,0
67,2019-12-31,1
100,2019-12-31,0
28,2019-12-31,0
18,2019-12-31,0
9,2019-12-31,0
69,2019-12-31,1
98,2019-12-31,0
10,2019-12-31,1
43,2019-12-31,0
82,2019-12-31,1
88,2019-12-31,0
21,2019-12-31,0
